edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,ingreso
46,0,0,5,5,3,17000
41,0,0,1,2,2,10000
49,0,0,5,1,2,5000
25,0,0,1,3,2,15000
50,1,0,1,6,2,4000
52,0,0,1,3,2,10000
61,0,0,1,2,2,3000
79,1,0,5,3,2,9000
64,0,0,1,2,2,6000
46,1,0,1,4,2,4000
46,0,0,1,4,2,30000
26,0,0,2,3,2,4000
45,1,0,5,4,2,5000
37,0,0,5,4,2,10000
68,0,0,5,3,2,2000
35,1,0,1,4,2,8000
42,0,0,5,4,2,15000
61,0,0,5,2,2,6000
44,0,0,5,3,2,17000
28,1,0,5,4,2,7000
48,1,0,1,2,2,6000
53,0,0,1,2,2,12000
23,1,0,1,4,2,5000
26,1,0,1,5,2,8000
34,0,0,1,3,2,8000
34,0,0,1,2,2,5000
27,0,0,5,4,2,9000
33,1,0,5,4,2,7000
48,0,0,5,4,3,18500
30,1,0,5,4,2,10000
27,0,0,1,2,2,10000
48,0,0,5,6,2,7000
47,1,0,5,3,2,3000
45,0,0,3,6,2,20000
46,1,0,1,6,2,30000
53,1,0,1,2,2,10000
26,0,0,5,4,2,7000
24,0,0,1,3,2,7000
43,0,0,1,3,2,8000
57,0,0,1,4,2,7000
51,1,0,5,6,2,3500
30,0,0,1,1,2,12000
34,0,0,5,3,2,2000
45,1,0,3,5,3,60000
33,1,0,5,6,2,20000
45,0,0,1,2,2,12000
66,0,0,5,3,2,4000
30,0,0,1,3,2,5000
26,1,0,5,5,2,20000
49,0,0,1,2,2,4000
37,0,0,1,6,2,18000
31,0,0,5,4,1,25000
45,1,0,5,4,2,10000
62,0,0,1,4,2,8500
62,1,0,5,3,2,5000
40,0,0,1,4,2,20000
74,1,0,5,3,2,18000
63,1,0,5,6,2,4500
69,0,0,5,2,2,4000
69,1,0,5,2,2,1000
31,1,0,1,4,2,9000
61,1,0,5,2,2,11200
56,1,0,5,3,2,6000
26,1,0,5,4,2,3500
62,1,0,5,6,2,17000
44,0,0,1,1,2,200
53,0,0,5,4,2,20000
54,0,0,5,3,2,35000
28,1,0,1,3,2,3000
53,0,0,5,2,3,30000
57,0,0,1,4,2,3500
44,0,0,3,5,3,21000
31,0,0,1,3,2,9000
66,0,0,1,2,2,2500
22,0,0,1,3,2,3000
